id,name,brand,description,category,product_type,price,cost_price,stock,rating,sales_count,views,conversion_rate,color,sizes_or_capacity,specification,profit_per_unit,estimated_revenue,estimated_profit,stock_status
prod_001,Sprint Runner,Velocity,High-performance lightweight running shoe with breathable mesh upper.,Footwear,Running,1299,799,15,4.5,245,1820,0.134,Neon Lime / Black,"7,8,9,10",220g,500,318255,122500,in_stock
prod_002,Premium Runner,AeroStride,Carbon-plated marathon running shoe with high energy return.,Footwear,Running,1799,1120,8,4.7,198,1540,0.129,Carbon Black / Gold,"8,9,10,11",195g,679,356202,134442,in_stock
prod_003,Trail Blaze Pro,TrailForce,Rugged all-terrain trail shoe with high-traction outsole.,Footwear,Trail,2499,1550,6,4.6,121,980,0.123,Olive Green,"8,9,10",310g,949,302379,114829,low_stock
prod_004,Urban Sneaker Lite,UrbanFlex,Comfortable everyday sneaker with memory foam cushioning.,Footwear,Lifestyle,999,590,25,4.3,310,2680,0.116,Cloud White,"7,8,9,10",260g,409,309690,126790,in_stock
prod_005,SonicPulse Wireless Earbuds,SonicPulse,Sweatproof sports earbuds with deep bass and extended battery life.,Electronics,Audio,1499,900,12,4.4,276,2250,0.123,Matte Black,Universal,32h,599,413724,165324,in_stock
prod_006,ProGrip Resistance Bands,ProGrip,Five-pack heavy-duty resistance loop bands for home and gym training.,Fitness,Strength,699,350,30,4.6,420,3120,0.135,Multicolor,"X-Light,Light,Medium,Heavy,X-Heavy",Natural Latex,349,293580,146580,in_stock
prod_007,Thermal Hydration Flask,HydraCore,Double-wall vacuum insulated stainless steel sports bottle.,Accessories,Hydration,499,220,40,4.5,512,3890,0.132,Steel Blue,750ml,24h Cold / 12h Hot,279,255488,142848,in_stock
prod_008,AeroFit Performance Tee,AeroFit,Ultra-light moisture-wicking athletic t-shirt with anti-odor fabric.,Clothing,Performance,899,430,20,4.4,355,2940,0.121,Charcoal Grey,"S,M,L,XL",DryFit Micro-Poly,469,319145,166495,in_stock
prod_009,Apex Smart Fitness Tracker,Apex,"Fitness tracker with AMOLED display, heart rate and SpO2 monitoring.",Electronics,Wearables,2199,1350,7,4.2,143,1710,0.084,Midnight Black,Universal,1.47-inch AMOLED,849,314457,121407,low_stock
prod_010,Phantom Sprint Elite,Phantom,Special-edition lightweight track shoe for sprint training.,Footwear,Track,1450,850,0,4.8,312,2100,0.148,Electric Blue,"9,10",190g,600,452400,187200,out_of_stock
prod_011,Anti-Blister Running Socks,Endura,Compression running socks designed to reduce friction and blistering.,Footwear,Accessory,149,65,50,4.5,690,4820,0.118,Black,"M,L",Merino-CoolMax Blend,84,102810,57960,in_stock
prod_012,Cushioned Gel Insoles,StrideCare,Shock-absorbing dual-gel replacement insoles for running shoes.,Footwear,Accessory,199,90,35,4.4,575,4210,0.106,Blue,Universal Trim-to-Fit,High Support,109,114425,62675,in_stock
prod_013,Endurance Runner X,Velocity,Responsive road-running shoe designed for long-distance comfort.,Footwear,Running,1599,960,18,4.6,288,2190,0.132,Royal Blue / White,"7,8,9,10,11",225g,639,460512,184032,in_stock
prod_014,Daily Walk Comfort,UrbanFlex,Soft-cushioned walking shoe for daily commuting and casual use.,Footwear,Walking,1199,680,22,4.3,260,2370,0.11,Grey,"7,8,9,10",275g,519,311740,134940,in_stock
prod_015,SpeedCore Track,Phantom,Lightweight sprint shoe built for track workouts and speed sessions.,Footwear,Track,1399,820,11,4.7,205,1680,0.122,Red / Black,"8,9,10",185g,579,286795,118695,in_stock
prod_016,MountainGrip Trail,TrailForce,Durable trail shoe with aggressive grip for uneven terrain.,Footwear,Trail,2299,1410,9,4.5,156,1320,0.118,Forest Green,"8,9,10,11",325g,889,358644,138684,in_stock
prod_017,FlexMove Training Shoe,AeroStride,Versatile cross-training shoe for gym workouts and functional training.,Footwear,Training,1699,980,16,4.4,214,1890,0.113,Black / Orange,"7,8,9,10,11",245g,719,363586,153866,in_stock
prod_018,CloudStep Recovery Shoe,StrideCare,Soft recovery footwear with supportive cushioning after training.,Footwear,Recovery,1299,720,19,4.5,177,1740,0.102,Sand White,"7,8,9,10",285g,579,229923,102483,in_stock
prod_019,BassBeat Sport Buds,SonicPulse,Compact wireless sports earbuds with secure-fit ear tips.,Electronics,Audio,1199,690,17,4.3,231,2010,0.115,Black / Red,Universal,24h,509,276969,117579,in_stock
prod_020,ChargeGo Power Bank,VoltEdge,Portable fast-charging power bank for phones and fitness devices.,Electronics,Accessories,899,520,24,4.4,301,2510,0.12,Dark Grey,10000mAh,22.5W,379,270599,114079,in_stock
prod_021,PulseWatch Active,Apex,"Smart fitness watch with workout tracking, sleep monitoring and notifications.",Electronics,Wearables,2499,1580,5,4.1,119,1460,0.081,Graphite,Universal,1.6-inch AMOLED,919,297381,109361,low_stock
prod_022,CoreFlex Yoga Mat,CoreFlex,"Non-slip exercise mat for yoga, stretching and mobility sessions.",Fitness,Yoga,799,390,28,4.6,382,2860,0.129,Purple,183 x 61 cm,6mm,409,305218,156238,in_stock
prod_023,SpeedRope Pro,ProGrip,Adjustable speed rope designed for cardio and conditioning workouts.,Fitness,Cardio,599,280,33,4.5,446,3290,0.137,Black,Adjustable,2.8m,319,267154,142274,in_stock
prod_024,IronCore Adjustable Dumbbells,IronCore,Compact adjustable dumbbell set for home strength training.,Fitness,Strength,2999,1900,4,4.7,97,1120,0.087,Black,Adjustable,Up to 20kg,1099,290903,106603,low_stock
prod_025,FlexDry Training Shorts,AeroFit,"Lightweight quick-dry shorts for running, gym and training.",Clothing,Performance,699,320,26,4.4,332,2750,0.121,Navy Blue,"S,M,L,XL",Polyester Stretch,379,232068,125828,in_stock
prod_026,RunShield Lightweight Jacket,AeroFit,Lightweight wind-resistant training jacket for outdoor workouts.,Clothing,Outerwear,1499,780,13,4.5,189,1620,0.117,Black,"S,M,L,XL",WindShell,719,283311,135891,in_stock
prod_027,SprintCap Performance Cap,AeroFit,Breathable quick-dry sports cap for running and outdoor training.,Accessories,Headwear,399,160,38,4.3,511,3610,0.141,Black,Adjustable,Polyester Mesh,239,203889,122129,in_stock
prod_028,Athlete Pro Gym Bag,CoreFlex,Spacious training bag with separate shoe and accessory compartments.,Accessories,Bags,1299,650,14,4.6,204,1810,0.113,Charcoal,35L,Water-resistant Polyester,649,264996,132396,in_stock
prod_029,CoolTowel Sports Towel,HydraCore,Quick-drying cooling towel for workouts and outdoor activities.,Accessories,Towel,299,120,45,4.4,623,4150,0.15,Blue,One Size,Microfiber,179,186277,111517,in_stock
prod_030,Recovery Massage Ball,CoreFlex,Compact massage ball for post-workout muscle recovery and mobility.,Fitness,Recovery,349,150,41,4.5,537,3900,0.138,Green,One Size,High-density EVA,199,187413,106863,in_stock
